Unnamed: 0,area_type,location,total_sqft,bath,balcony,price,bhk
12240,Super built-up  Area,Ashwath Nagar,1625.0,3.0,2.0,95.0,3
12241,Super built-up  Area,Classic Paradise Layout,1210.0,2.0,2.0,53.0,2
12242,Super built-up  Area,Lakshminarayana Pura,1615.0,3.0,2.0,150.0,3
12243,Super built-up  Area,Kalena Agrahara,1180.0,2.0,2.0,85.0,2
12244,Plot  Area,Nagasandra,1500.0,2.0,0.0,91.0,2
12245,Built-up  Area,Bellandur,850.0,2.0,1.0,45.0,2
12246,Super built-up  Area,Kothanur,1130.0,2.0,2.0,55.0,2
12247,Super built-up  Area,CV Raman Nagar,907.0,2.0,2.0,38.0,2
12248,Built-up  Area,HRBR Layout,1300.0,2.0,3.0,90.0,2
12249,Super built-up  Area,Hennur Road,1891.0,3.0,1.0,110.0,3
12250,Super built-up  Area,Hennur Road,1735.0,3.0,3.0,78.0,3
12251,Super built-up  Area,Bisuvanahalli,1075.0,2.0,1.0,33.0,3
12252,Built-up  Area,Gowdanapalya,1559.6266939129123,5.0,0.0,75.0,5
12253,Built-up  Area,Kumaraswami Layout,2040.0,4.0,3.0,123.0,7
12254,Super built-up  Area,Uttarahalli,1590.0,3.0,2.0,57.0,3
12255,Plot  Area,Jayanti Nagar,1600.0,5.0,2.0,140.0,5
12256,Built-up  Area,Doddakammanahalli,1160.0,2.0,3.0,55.0,2
12257,Super built-up  Area,Tasker Town,930.0,1.0,1.0,55.0,2
12258,Built-up  Area,Devanahalli,1010.0,2.0,1.0,58.0,2
12259,Super built-up  Area,Electronic City,1221.0,2.0,2.0,68.0,2
12260,Plot  Area,Banashankari,2400.0,4.0,3.0,470.0,4
12261,Super built-up  Area,Hoodi,1108.0,2.0,1.0,87.48,2
12262,Plot  Area,Vidyaranyapura,1000.0,4.0,2.0,120.0,4
12263,Super built-up  Area,Sarjapur  Road,1370.0,2.0,1.0,70.0,2
12264,Super built-up  Area,Banashankari Stage V,920.0,2.0,1.0,41.5,2
12265,Super built-up  Area,Bhoganhalli,1277.0,2.0,1.0,79.89,2
12266,Super built-up  Area,Horamavu Agara,1213.0,2.0,2.0,38.1,2
12267,Super built-up  Area,Singasandra,1653.0,3.0,2.0,85.0,3
12268,Plot  Area,Sarjapur,2400.0,3.0,3.0,140.0,4
12269,Super built-up  Area,1st Block Koramangala,3000.0,5.0,3.0,500.0,4
12270,Plot  Area,Kothanur,1600.0,4.0,3.0,250.0,4
12271,Super built-up  Area,Electronics City Phase 1,1321.0,2.0,2.0,40.0,3
12272,Super built-up  Area,Kanakpura Road,1570.0,3.0,2.0,68.0,3
12273,Built-up  Area,Hessarghatta,1150.0,8.0,2.0,70.0,8
12274,Super built-up  Area,Nallurhalli,1053.0,2.0,3.0,44.0,2
12275,Super built-up  Area,Hoysalanagar,1325.0,2.0,3.0,56.0,3
12276,Super built-up  Area,manyata,1169.0,2.0,1.0,50.11,2
12277,Super built-up  Area,Badavala Nagar,1274.0,2.0,1.0,90.0,2
12278,Super built-up  Area,Whitefield,1317.0,2.0,2.0,52.0,2
12279,Built-up  Area,Lakshminarayana Pura,1195.0,2.0,1.0,75.0,2
12280,Super built-up  Area,Whitefield,2858.0,4.0,0.0,137.0,4
12281,Super built-up  Area,Kammasandra,940.0,2.0,2.0,35.0,2
12282,Built-up  Area,Budigere,1820.0,3.0,2.0,95.5,3
12283,Super built-up  Area,Kanakpura Road,1450.0,3.0,3.0,53.6,3
12284,Built-up  Area,Whitefield,1615.0,3.0,0.0,96.9,3
12285,Built-up  Area,Nagarbhavi,2200.0,2.0,3.0,99.0,3
12286,Super built-up  Area,Subramanyapura,985.0,2.0,1.0,62.5,2
12287,Built-up  Area,Electronics City Phase 1,1116.0,2.0,1.0,33.0,2
12288,Super built-up  Area,Attibele,656.0,2.0,1.0,25.0,2
12289,Super built-up  Area,Kaggadasapura,1105.0,2.0,1.0,39.5,2
12290,Super built-up  Area,Whitefield,1220.0,2.0,1.0,55.0,2
12291,Built-up  Area,Hoodi,1400.0,3.0,2.0,74.0,3
12292,Built-up  Area,Bhuvaneswari Nagar,2400.0,3.0,0.0,185.0,4
12293,Plot  Area,Anandapura,850.0,3.0,0.0,63.0,3
12294,Built-up  Area,Uttarahalli,1000.0,2.0,1.0,35.0,2
12295,Super built-up  Area,Bannerghatta Road,1660.0,3.0,3.0,80.0,3
12296,Super built-up  Area,Uttarahalli,1330.0,2.0,1.0,57.0,3
12297,Super built-up  Area,Old Madras Road,1165.0,2.0,1.0,52.0,2
12298,Super built-up  Area,Budigere,1153.0,2.0,2.0,56.0,2
12299,Built-up  Area,Bannerghatta Road,1270.0,2.0,2.0,45.0,2
12300,Super built-up  Area,2nd Phase JP Nagar,1070.0,2.0,2.0,38.0,2
12301,Built-up  Area,RWF West Colony,1427.0,2.0,2.0,85.0,3
12302,Super built-up  Area,Banashankari Stage III,1420.0,2.0,2.0,95.0,3
12303,Plot  Area,Kothanur,1600.0,5.0,0.0,130.0,4
12304,Super built-up  Area,Langford Town,2031.0,2.0,2.0,200.0,2
12305,Super built-up  Area,Bellandur,1454.0,2.0,1.0,90.0,2
12306,Super built-up  Area,Whitefield,1116.0,2.0,3.0,48.76,2
12307,Plot  Area,Maruthi Sevanagar,2000.0,3.0,1.0,180.0,4
12308,Super built-up  Area,Sarjapur  Road,1346.0,2.0,1.0,74.03,2
12309,Super built-up  Area,Hessarghatta,1062.0,2.0,1.0,50.0,2
12310,Super built-up  Area, Mysore Highway,700.0,1.0,1.0,25.5,1
12311,Super built-up  Area,JP Nagar,1405.0,2.0,1.0,99.0,2
12312,Built-up  Area,Doddathoguru,1100.0,2.0,2.0,50.0,2
12313,Plot  Area,Chikka Tirupathi,2153.0,4.0,3.0,120.0,3
12314,Plot  Area,Kammagondahalli,1200.0,3.0,2.0,120.0,3
12315,Super built-up  Area,Ulsoor,2135.0,3.0,2.0,170.0,3
12316,Super built-up  Area,Uttarahalli,1125.0,2.0,1.0,47.0,2
12317,Super built-up  Area,2nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3
12318,Built-up  Area,Pai Layout,1068.0,2.0,3.0,48.0,2
12319,Super built-up  Area,Doddathoguru,940.0,2.0,1.0,32.9,2
12320,Super built-up  Area,Hosa Road,1063.0,2.0,1.0,32.79,2
12321,Super built-up  Area,Brookefield,1382.0,2.0,2.0,84.5,2
12322,Super built-up  Area,Harlur,936.0,2.0,1.0,45.0,2
12323,Super built-up  Area,KR Puram,1400.0,2.0,3.0,60.0,3
12324,Super built-up  Area,Sarjapur  Road,475.0,1.0,1.0,26.0,1
12325,Super built-up  Area,LIC Colony,1200.0,2.0,1.0,115.0,2
12326,Super built-up  Area,Glass Factory Layout,1450.0,3.0,3.0,65.0,3
12327,Super built-up  Area,Kudlu,1162.0,2.0,1.0,52.0,2
12328,Super built-up  Area,Hosa Road,1161.0,2.0,1.0,48.75,2
12329,Super built-up  Area,Green Glen Layout,1623.29,2.0,2.0,105.0,3
12330,Super built-up  Area,Brookefield,1260.0,2.0,1.0,70.0,2
12331,Plot  Area,Billekahalli,1672.0,3.0,2.0,190.0,4
12332,Plot  Area,Seegehalli,3000.0,4.0,2.0,240.0,3
12333,Super built-up  Area,Murugeshpalya,1500.0,2.0,0.0,70.0,3
12334,Super built-up  Area,Budigere,705.0,1.0,0.0,34.545,1
12335,Plot  Area,Gaurava Nagar,1650.0,6.0,2.0,200.0,5
12336,Super built-up  Area,Dollars Colony,2000.0,3.0,3.0,200.0,3
12337,Plot  Area,Thyagaraja Nagar,1675.0,1.0,0.0,241.0,1
12338,Plot  Area,Electronic City,1200.0,3.0,2.0,150.0,3
12339,Super built-up  Area,Nagarbhavi,1100.0,2.0,2.0,46.2,2
12340,Super built-up  Area,Whitefield,1400.0,2.0,3.0,56.0,3
12341,Super built-up  Area,Ramagondanahalli,2257.0,3.0,2.0,155.0,3
12342,Super built-up  Area,Budigere,1153.0,2.0,2.0,56.5,2
12343,Super built-up  Area,Sarjapur  Road,1197.0,2.0,1.0,56.86,2
12344,Super built-up  Area,Siddapura,1150.0,2.0,2.0,90.0,2
12345,Super built-up  Area,Akshayanagara East,595.0,1.0,1.0,40.0,1
12346,Super built-up  Area,Hoodi,1837.0,3.0,1.0,110.0,3
12347,Plot  Area,Kumbalgodu,3750.0,4.0,2.0,190.0,4
12348,Super built-up  Area,Bellandur,1830.0,3.0,3.0,91.86,3
12349,Super built-up  Area,Green Glen Layout,1715.0,3.0,3.0,115.0,3
12350,Super built-up  Area,Electronic City,970.0,2.0,1.0,35.0,2
12351,Plot  Area,Hebbal Kempapura,1200.0,3.0,2.0,148.0,4
12352,Built-up  Area,NRI Layout,2700.0,5.0,1.0,95.75,4
12353,Plot  Area,Siddapura,5480.0,4.0,2.0,400.0,3
12354,Built-up  Area,Vidyaranyapura,2400.0,5.0,1.0,135.0,4
12355,Super built-up  Area,Sarjapur  Road,3040.0,4.0,2.0,135.0,4
12356,Super built-up  Area,Raja Rajeshwari Nagar,1168.0,2.0,1.0,66.0,2
12357,Super built-up  Area,Begur Road,1160.0,2.0,2.0,36.54,2
12358,Built-up  Area,Mallappa Layout,1500.0,3.0,2.0,75.0,3
12359,Plot  Area,Kumaraswami Layout,600.0,2.0,1.0,72.0,2
12360,Plot  Area,5th Phase JP Nagar,1200.0,7.0,3.0,250.0,8
12361,Super built-up  Area,ITPL,850.0,2.0,1.0,25.4,2
12362,Super built-up  Area,Ramamurthy Nagar,935.0,2.0,2.0,39.0,2
12363,Plot  Area,Ullal Road,1200.0,5.0,1.0,235.0,5
12364,Super built-up  Area,Doddaballapur,654.0,1.0,1.0,49.0,1
12365,Built-up  Area,Domlur,1650.0,3.0,1.0,180.0,3
12366,Plot  Area,Dodsworth Layout,5656.0,5.0,0.0,499.0,3
12367,Super built-up  Area,Vinayak Nagar,1300.0,2.0,1.0,33.0,2
12368,Super built-up  Area,Kaggalipura,950.0,2.0,1.0,60.0,2
12369,Super built-up  Area,Silk Board,1250.0,3.0,2.0,54.0,3
12370,Super built-up  Area,Doddakallasandra,1072.0,2.0,1.0,42.87,2
12371,Super built-up  Area,Ankappa Layout,1425.0,2.0,2.0,65.0,3
12372,Built-up  Area,Uttarahalli,1165.0,1.0,0.0,42.09,2
12373,Super built-up  Area,Kathriguppe,1390.0,2.0,2.0,69.49,3
12374,Built-up  Area,Kalena Agrahara,1510.0,3.0,2.0,78.0,3
12375,Super built-up  Area,Thanisandra,1305.0,2.0,2.0,90.0,2
12376,Plot  Area,Vidyaranyapura,1200.0,6.0,2.0,170.0,6
12377,Built-up  Area,Kodigehaali,866.0,2.0,2.0,32.0,2
12378,Super built-up  Area,Hulimavu,1231.0,2.0,1.0,84.5,2
12379,Super built-up  Area,Sompura,1360.0,2.0,3.0,45.0,3
12380,Super built-up  Area,Yeshwanthpur,2500.0,3.0,3.0,138.0,3
12381,Super built-up  Area,Whitefield,1140.0,2.0,3.0,55.0,2
12382,Super built-up  Area,Kanakpura Road,525.0,1.0,1.0,30.0,1
12383,Super built-up  Area,Whitefield,1295.0,2.0,1.0,64.5,2
12384,Super built-up  Area,Hormavu,1020.0,2.0,2.0,45.75,2
12385,Super built-up  Area,Old Airport Road,3504.0,4.0,2.0,262.0,4
12386,Plot  Area,Sidedahalli,1200.0,1.0,0.0,50.0,2
12387,Super built-up  Area,Vidyaranyapura,1100.0,2.0,1.0,41.0,2
12388,Plot  Area,Bannerghatta Road,4723.0,4.0,3.0,500.0,4
12389,Super built-up  Area,Kothannur,820.0,2.0,2.0,37.0,2
12390,Plot  Area,Sarjapur,3508.0,4.0,1.0,386.0,4
12391,Plot  Area,Versova Layout,3700.0,4.0,2.0,400.0,4
12392,Super built-up  Area,Kalena Agrahara,1354.0,2.0,2.0,70.0,2
12393,Super built-up  Area,Basavangudi,2453.0,3.0,2.0,250.0,4
12394,Super built-up  Area,Garudachar Palya,1154.0,2.0,1.0,51.8,2
12395,Super built-up  Area,7th Phase JP Nagar,1680.0,2.0,3.0,92.0,3
12396,Super built-up  Area,Electronics City Phase 1,1205.0,2.0,2.0,60.0,2
12397,Built-up  Area,Raja Rajeshwari Nagar,1400.0,2.0,2.0,86.0,3
12398,Carpet  Area,Doopanahalli,1625.0,3.0,1.0,150.0,3
12399,Built-up  Area,Electronic City,1500.0,3.0,1.0,73.0,3
12400,Super built-up  Area,Bannerghatta Road,1520.0,2.0,3.0,80.0,3
12401,Built-up  Area,3rd Stage Raja Rajeshwari Nagar,1300.0,3.0,1.0,65.0,2
12402,Super built-up  Area,Manayata Tech Park,1150.0,2.0,2.0,47.0,2
12403,Super built-up  Area,Kadugodi,1762.0,3.0,3.0,109.0,3
12404,Super built-up  Area,Budigere,1153.0,2.0,2.0,58.0,2
12405,Super built-up  Area,Yelahanka,2650.0,4.0,1.0,223.0,4
12406,Super built-up  Area,Sompura,1350.0,2.0,2.0,47.0,3
12407,Super built-up  Area,Billekahalli,950.0,2.0,2.0,56.0,2
12408,Super built-up  Area,Jakkur,3295.0,3.0,3.0,310.0,3
12409,Super built-up  Area,Coconut Grove Layout,1515.0,3.0,3.0,80.5,3
12410,Super built-up  Area,Neeladri Nagar,1100.0,2.0,2.0,30.0,2
12411,Super built-up  Area,Byrasandra,1250.0,2.0,2.0,65.0,2
12412,Built-up  Area,HBR Layout,1200.0,2.0,0.0,120.0,2
12413,Super built-up  Area,5th Phase JP Nagar,2500.0,8.0,3.0,95.0,7
12414,Plot  Area,Hoskote,1200.0,4.0,2.0,100.0,4
12415,Super built-up  Area,Yelahanka,1355.0,2.0,2.0,51.5,3
12416,Super built-up  Area,Dominic Layout,1115.0,3.0,1.0,39.14,3
12417,Super built-up  Area,8th Phase JP Nagar,1275.0,3.0,2.0,45.0,3
12418,Super built-up  Area,Padmanabhanagar,2051.0,3.0,2.0,170.0,3
12419,Super built-up  Area,BTM Layout,1470.0,2.0,2.0,99.0,3
12420,Super built-up  Area,Silver Springs Layout,1550.0,2.0,3.0,70.0,3
12421,Built-up  Area,Bannerghatta Road,1270.0,2.0,1.0,73.0,3
12422,Super built-up  Area,Bhoganhalli,2119.0,4.0,2.0,111.0,4
12423,Super built-up  Area,Hebbal Kempapura,1600.0,3.0,3.0,170.0,3
12424,Super built-up  Area,Kudlu Gate,1320.0,2.0,2.0,50.0,3
12425,Super built-up  Area,Gopalkrishna Nagar,2505.0,3.0,2.0,165.0,3
12426,Super built-up  Area,Tejaswini Nagar,1410.0,2.0,1.0,54.0,3
12427,Super built-up  Area,Whitefield,1200.0,2.0,3.0,70.0,2
12428,Super built-up  Area,Chennammana Kere,1705.0,2.0,1.0,86.96,3
12429,Super built-up  Area,Electronic City,995.0,2.0,1.0,48.0,2
12430,Built-up  Area,Horamavu Banaswadi,1081.0,2.0,1.0,52.0,2
12431,Super built-up  Area,Parappana Agrahara,1194.0,2.0,2.0,46.0,2
12432,Super built-up  Area,Sonnenahalli,605.0,1.0,1.0,30.24,1
12433,Built-up  Area,Yelahanka,567.0,1.0,1.0,25.0,1
12434,Super built-up  Area,Rajaji Nagar,1718.0,3.0,2.0,275.0,2
12435,Super built-up  Area,Banashankari Stage VI,1410.5,2.0,0.0,70.385,3
12436,Plot  Area,2nd Stage Nagarbhavi,600.0,5.0,1.0,135.0,3
12437,Super built-up  Area,Green Glen Layout,1715.0,3.0,2.0,105.0,3
12438,Plot  Area,Doddaballapur,3206.0,5.0,2.0,270.0,4
12439,Plot  Area,Kundalahalli,1500.0,4.0,2.0,235.0,4
12440,Super built-up  Area,Bannerghatta Road,1846.0,3.0,2.0,120.0,3
12441,Plot  Area,Coconut Garden,600.0,3.0,1.0,90.0,3
12442,Super built-up  Area,Whitefield,1015.0,2.0,3.0,56.0,2
12443,Plot  Area,Dollars Colony,4350.0,8.0,2.0,2600.0,4
12444,Super built-up  Area,Thanisandra,1100.0,2.0,1.0,36.0,2
12445,Super built-up  Area,Thanisandra,1965.0,4.0,2.0,125.0,3
12446,Super built-up  Area,NGR Layout,1021.0,2.0,2.0,45.9,2
12447,Super built-up  Area,Haralur Road,1230.0,2.0,1.0,67.65,2
12448,Super built-up  Area,Uttarahalli,1260.0,2.0,2.0,55.0,2
12449,Plot  Area,Indira Nagar,2400.0,4.0,1.0,700.0,4
12450,Super built-up  Area,Lingadheeranahalli,1894.0,4.0,1.0,114.0,3
12451,Plot  Area,2nd Stage Nagarbhavi,1500.0,4.0,2.0,233.0,6
12452,Super built-up  Area,Jakkur,1950.0,3.0,2.0,131.0,3
12453,Super built-up  Area,Sector 2 HSR Layout,1231.0,2.0,3.0,66.0,2
12454,Super built-up  Area,Mahadevpura,1236.0,2.0,1.0,58.0,2
12455,Built-up  Area,R.T. Nagar,1800.0,3.0,0.0,120.0,4
12456,Super built-up  Area,KAMAKIYA,1650.0,3.0,2.0,135.0,3
12457,Plot  Area,Kirloskar Layout,750.0,3.0,1.0,88.0,5
12458,Super built-up  Area,Begur,1443.0,2.0,2.0,70.0,3
12459,Plot  Area,Ramamurthy Nagar,886.0,4.0,2.0,120.0,4
12460,Super built-up  Area,Wheelers Road,925.0,2.0,1.0,68.0,2
12461,Super built-up  Area,Chandapura,1305.0,3.0,1.0,33.28,3
12462,Super built-up  Area,Alfa Garden Layout,1190.0,2.0,2.0,46.41,2
12463,Super built-up  Area,Uttarahalli,1284.0,2.0,2.0,53.36,2
12464,Plot  Area,MM Layout,350.0,3.0,1.0,45.0,4
12465,Plot  Area,Palace Guttahalli,875.0,3.0,1.0,115.0,3
12466,Built-up  Area,Chikkalasandra,1325.0,2.0,1.0,59.0,2
12467,Plot  Area,Sector 6 HSR Layout,2400.0,5.0,2.0,750.0,6
12468,Super built-up  Area,Kudlu Gate,1183.0,2.0,1.0,79.54,2
12469,Built-up  Area,Rajiv Gandhi Nagar,1750.0,3.0,2.0,100.0,3
12470,Super built-up  Area,Nagashetty Halli,16335.0,4.0,2.0,149.0,4
12471,Super built-up  Area,Doddagubbi,747.0,1.0,2.0,27.0,1
12472,Super built-up  Area,Electronic City,1342.0,2.0,1.0,90.0,2
12473,Super built-up  Area,Motappa Layout,1113.0,2.0,1.0,52.0,2
12474,Super built-up  Area,Devarabeesana Halli,1738.0,3.0,2.0,110.0,3
12475,Super built-up  Area,Brookefield,1206.0,2.0,2.0,90.0,2
12476,Super built-up  Area,Hebbal,2790.0,4.0,3.0,198.0,4
12477,Super built-up  Area,Hebbal,1162.0,2.0,1.0,59.0,2
12478,Super built-up  Area,Parappana Agrahara,1194.0,2.0,2.0,46.0,2
12479,Built-up  Area,Sarjapur  Road,1857.0,4.0,3.0,155.0,3
12480,Built-up  Area,Kattigenahalli,3500.0,6.0,2.0,115.0,6
12481,Super built-up  Area,Rajaji Nagar,1763.0,3.0,2.0,240.0,2
12482,Super built-up  Area,Uttarahalli,1150.0,2.0,1.0,45.99,2
12483,Plot  Area,Koramangala,2400.0,5.0,3.0,550.0,4
12484,Super built-up  Area,Chikkalasandra,1290.0,2.0,2.0,72.0,2
12485,Built-up  Area,Thubarahalli,3408.0,5.0,2.0,145.0,4
12486,Built-up  Area,HBR Layout,900.0,2.0,1.0,145.0,2
12487,Built-up  Area,Sanjay nagar,1150.0,2.0,0.0,70.0,2
12488,Plot  Area,Banashankari,1040.0,2.0,1.0,109.0,3
12489,Super built-up  Area,Yeshwanthpur,1160.0,2.0,2.0,64.08,2
12490,Super built-up  Area,Soundarya Layout,900.0,2.0,2.0,27.0,2
12491,Plot  Area,Sarjapur  Road,1750.0,3.0,1.0,185.0,4
12492,Built-up  Area,Electronic City,1320.0,2.0,1.0,38.12,3
12493,Super built-up  Area,Lingadheeranahalli,2240.0,4.0,2.0,160.0,4
12494,Super built-up  Area,Electronics City Phase 1,891.0,2.0,1.0,26.0,2
12495,Plot  Area,Udaya Nagar,1000.0,4.0,3.0,80.0,5
12496,Super built-up  Area,Ambedkar Nagar,1852.0,3.0,2.0,125.0,3
12497,Super built-up  Area,Chandapura,1323.0,2.0,1.0,42.0,3
12498,Super built-up  Area,Vittasandra,1404.0,2.0,1.0,67.5,2
12499,Built-up  Area,Dodda Nekkundi,1370.0,2.0,2.0,60.0,2
12500,Super built-up  Area,Uttarahalli,1385.0,2.0,2.0,48.48,3
12501,Super built-up  Area,Gollarapalya Hosahalli,1129.0,2.0,1.0,50.0,2
12502,Super built-up  Area,Mahalakshmi Layout,1876.0,3.0,1.0,150.0,3
12503,Super built-up  Area,Brooke Bond First Cross,1720.0,3.0,1.0,95.0,3
12504,Plot  Area,Jalahalli East,1200.0,4.0,1.0,80.0,4
12505,Super built-up  Area,Mysore Road,1175.0,2.0,2.0,86.68,2
12506,Super built-up  Area,Nagawara Junction,500.0,1.0,2.0,51.0,1
12507,Plot  Area,Dasappa Layout,1200.0,5.0,2.0,85.0,5
12508,Built-up  Area,Electronic City Phase II,1200.0,1.0,0.0,295.0,1
12509,Super built-up  Area,Hosa Road,1893.0,3.0,2.0,130.0,3
12510,Super built-up  Area,Whitefield,1430.0,3.0,2.0,52.0,3
12511,Built-up  Area,Green View Layout,850.0,2.0,2.0,45.0,2
12512,Super built-up  Area,CV Raman Nagar,1392.0,2.0,1.0,110.0,2
12513,Super built-up  Area,Kanakpura Road,1938.0,3.0,3.0,105.0,3
12514,Super built-up  Area,Chennammanakere Achukattu,1020.0,2.0,2.0,52.0,2
12515,Plot  Area,"beml layout, basaveshwara nagar",2400.0,2.0,1.0,360.0,3
12516,Super built-up  Area,HBR Layout,1832.0,3.0,2.0,160.0,3
12517,Super built-up  Area,Konanakunte,1423.0,2.0,2.0,85.0,3
12518,Super built-up  Area,Jakkur,1432.0,2.0,1.0,85.0,2
12519,Plot  Area,2nd Block Hrbr Layout,1350.0,4.0,3.0,235.0,4
12520,Plot  Area,BTM 2nd Stage,1500.0,6.0,0.0,270.0,8
12521,Super built-up  Area,CV Raman Nagar,1480.0,3.0,2.0,65.0,3
12522,Super built-up  Area,Kanakpura Road,1843.0,3.0,2.0,96.2,3
12523,Plot  Area,Lingarajapuram,760.0,4.0,2.0,95.0,3
12524,Super built-up  Area,Hulimavu,1916.0,2.0,1.0,150.0,3
12525,Super built-up  Area,Hennur,1255.0,2.0,1.0,55.5,2
12526,Super built-up  Area,Yelenahalli,1160.0,2.0,2.0,44.08,2
12527,Super built-up  Area,Old Madras Road,2640.0,2.0,1.0,170.0,2
12528,Super built-up  Area,Bommanahalli,1160.0,2.0,3.0,53.0,2
12529,Built-up  Area,Lakshminarayana Pura,1200.0,2.0,1.0,80.0,2
12530,Super built-up  Area,7th Phase JP Nagar,1100.0,2.0,1.0,44.0,2
12531,Carpet  Area,Ramagondanahalli,1500.0,3.0,3.0,100.0,3
12532,Super built-up  Area,Electronic City Phase II,1336.0,2.0,3.0,50.35,3
12533,Built-up  Area,Choodasandra,1065.0,2.0,1.0,46.0,2
12534,Super built-up  Area,Hebbal,1294.0,2.0,1.0,115.0,2
12535,Super built-up  Area,Rachenahalli,1550.0,3.0,2.0,68.5,3
12536,Super built-up  Area,Whitefield,1216.0,2.0,1.0,75.0,2
12537,Super built-up  Area,Bank Of Baroda Colony,1005.0,2.0,2.0,40.0,2
12538,Super built-up  Area,7th Phase JP Nagar,1430.0,2.0,1.0,102.0,3
12539,Super built-up  Area,Frazer Town,4100.0,4.0,3.0,660.0,4
12540,Super built-up  Area,Hoodi,1660.0,3.0,2.0,125.0,3
12541,Super built-up  Area,Thanisandra,1430.0,2.0,3.0,56.0,3
12542,Super built-up  Area,Hennur Road,1470.0,2.0,1.0,75.0,3
12543,Super built-up  Area,Jalahalli,1045.0,2.0,1.0,76.77,2
12544,Super built-up  Area,Hebbal,4225.0,6.0,0.0,359.0,4
12545,Built-up  Area,Anjanapura,950.0,2.0,0.0,30.0,2
12546,Super built-up  Area,Doddathoguru,1382.0,3.0,1.0,65.0,3
12547,Super built-up  Area,BTM 2nd Stage,930.0,2.0,2.0,46.0,2
12548,Super built-up  Area,Sarjapur  Road,1660.0,2.0,2.0,116.0,3
12549,Super built-up  Area,Vijinapura,1290.0,2.0,2.0,71.95,2
12550,Built-up  Area,Whitefield,1010.0,2.0,1.0,45.0,3
12551,Built-up  Area,Brookefield,3050.0,4.0,2.0,130.0,4
12552,Super built-up  Area,Dodda Nekkundi,1200.0,2.0,2.0,71.0,2
12553,Built-up  Area,3rd Block Hrbr Layout,1650.0,3.0,2.0,140.0,3
12554,Super built-up  Area,Budigere,1636.0,3.0,2.0,88.0,3
12555,Super built-up  Area,Rajaji Nagar,2367.0,3.0,2.0,320.0,3
12556,Super built-up  Area,Budigere,1153.0,2.0,2.0,56.55,2
12557,Super built-up  Area,Hegde Nagar,2087.01,4.0,2.0,160.0,3
12558,Super built-up  Area,LB Shastri Nagar,1200.0,2.0,1.0,47.0,2
12559,Super built-up  Area,HSR Layout,1844.0,3.0,1.0,89.0,3
12560,Super built-up  Area,Hosa Road,1559.6266939129123,3.0,1.0,110.0,3
12561,Super built-up  Area,Begur Road,1215.0,2.0,1.0,43.75,2
12562,Super built-up  Area,Sarjapur  Road,1194.0,2.0,1.0,57.0,2
12563,Built-up  Area,Chennappa Layout,1220.0,2.0,2.0,52.0,2
12564,Built-up  Area,1st Block HBR Layout,3150.0,4.0,2.0,150.0,4
12565,Super built-up  Area,Kanakpura Road,525.0,1.0,1.0,26.0,1
12566,Super built-up  Area,Bommasandra,955.0,2.0,1.0,37.97,2
12567,Built-up  Area,Kadugondanahalli,2000.0,5.0,2.0,75.0,5
12568,Super built-up  Area,Magadi Road,884.0,2.0,1.0,48.0,2
12569,Super built-up  Area,Kathriguppe,1250.0,2.0,1.0,68.75,2
12570,Super built-up  Area,Bommasandra Industrial Area,7000.0,2.0,1.0,135.0,2
12571,Plot  Area,Dodda Nekkundi,2400.0,4.0,2.0,300.0,3
12572,Super built-up  Area,Harlur,2990.0,4.0,1.0,225.0,4
12573,Super built-up  Area,Bellandur,1195.0,2.0,1.0,52.0,2
12574,Super built-up  Area,Sadhguru Layout,2559.0,1.0,1.0,55.0,1
12575,Built-up  Area,Begur,1200.0,2.0,1.0,33.0,2
12576,Super built-up  Area,Sarjapur  Road,984.0,2.0,1.0,45.75,2
12577,Super built-up  Area,Bommasandra,1089.0,2.0,1.0,40.0,2
12578,Super built-up  Area,Hennur Road,1165.0,2.0,1.0,52.0,2
12579,Super built-up  Area,Chandapura,410.0,1.0,1.0,10.0,1
12580,Super built-up  Area,Hennur,1482.0,3.0,1.0,110.0,3
12581,Built-up  Area,Ramamurthy Nagar,1200.0,2.0,1.0,68.0,2
12582,Super built-up  Area,Kanakapura,1938.0,3.0,3.0,113.0,3
12583,Super built-up  Area,Hormavu,1166.0,2.0,2.0,34.97,3
12584,Super built-up  Area,Chikkalasandra,1275.0,2.0,2.0,55.46,3
12585,Super built-up  Area,Mico Layout,1140.0,2.0,2.0,43.0,2
12586,Plot  Area,Hegde Nagar,3734.0,5.0,1.0,430.0,4
12587,Super built-up  Area,Tejaswini Nagar,720.0,1.0,2.0,28.0,1
12588,Plot  Area,Nagarbhavi,1200.0,3.0,2.0,228.0,3
12589,Built-up  Area,Richards Town,1100.0,2.0,1.0,90.0,2
12590,Super built-up  Area,Sector 7 HSR Layout,1162.0,2.0,2.0,98.77,2
12591,Built-up  Area,Ramamurthy Nagar,540.0,1.0,0.0,35.0,1
12592,Super built-up  Area,Rachenahalli,1550.0,2.0,2.0,73.5,3
12593,Plot  Area,R.T. Nagar,1300.0,3.0,2.0,145.0,3
12594,Plot  Area,Ullal Road,1200.0,5.0,1.0,130.0,5
12595,Super built-up  Area,Chikbasavanapura,1220.0,2.0,2.0,60.0,2
12596,Super built-up  Area,Doddathoguru,964.0,2.0,1.0,62.0,2
12597,Built-up  Area,"Electronic City Phase 1, ",1500.0,3.0,2.0,50.0,3
